city;country;admin_name
Delhi;India;Delhi
Mumbai;India;Mahārāshtra
Kolkāta;India;West Bengal
Bangalore;India;Karnātaka
Chennai;India;Tamil Nādu
Hyderābād;India;Telangana
Pune;India;Mahārāshtra
Ahmedabad;India;Gujarāt
Allahābād;India;Uttar Pradesh
Sūrat;India;Gujarāt
Lucknow;India;Uttar Pradesh
Jaipur;India;Rājasthān
Cawnpore;India;Uttar Pradesh
Mirzāpur;India;Uttar Pradesh
Nāgpur;India;Mahārāshtra
Ghāziābād;India;Uttar Pradesh
Vadodara;India;Gujarāt
Vishākhapatnam;India;Andhra Pradesh
Indore;India;Madhya Pradesh
Thāne;India;Mahārāshtra
Bhopāl;India;Madhya Pradesh
Patna;India;Bihār
Bilāspur;India;Chhattīsgarh
Ludhiāna;India;Punjab
Āgra;India;Uttar Pradesh
Kalyān;India;Mahārāshtra
Madurai;India;Tamil Nādu
Jamshedpur;India;Jharkhand
Nāsik;India;Mahārāshtra
Farīdābād;India;Haryāna
Aurangābād;India;Mahārāshtra
Rājkot;India;Gujarāt
Meerut;India;Uttar Pradesh
Jabalpur;India;Madhya Pradesh
Dhanbād;India;Jharkhand
Vārānasi;India;Uttar Pradesh
Srīnagar;India;Jammu and Kashmīr
Amritsar;India;Punjab
Alīgarh;India;Uttar Pradesh
Guwāhāti;India;Assam
Bhilai;India;Chhattīsgarh
Hāora;India;West Bengal
Rānchi;India;Jharkhand
Gwalior;India;Madhya Pradesh
Bezwāda;India;Andhra Pradesh
Chandīgarh;India;Chandīgarh
Jodhpur;India;Rājasthān
Mysore;India;Karnātaka
Raipur;India;Chhattīsgarh
Kota;India;Rājasthān
New Delhi;India;Delhi
Bareilly;India;Uttar Pradesh
Coimbatore;India;Tamil Nādu
Solāpur;India;Mahārāshtra
Trichinopoly;India;Tamil Nādu
Hubli;India;Karnātaka
Jalandhar;India;Punjab
Bhubaneshwar;India;Odisha
Morādābād;India;Uttar Pradesh
Kolhāpur;India;Mahārāshtra
Thiruvananthapuram;India;Kerala
Bhiwandi;India;Mahārāshtra
Sahāranpur;India;Uttar Pradesh
Warangal;India;Telangana
Salem;India;Tamil Nādu
Mālegaon;India;Mahārāshtra
Kochi;India;Kerala
Gorakhpur;India;Uttar Pradesh
Shimoga;India;Karnātaka
Guntūr;India;Andhra Pradesh
Tiruppūr;India;Tamil Nādu
Raurkela;India;Odisha
Mangalore;India;Karnātaka
Nānded;India;Mahārāshtra
Cuttack;India;Odisha
Tumkūr;India;Karnātaka
Chānda;India;Mahārāshtra
Dehra Dūn;India;Uttarakhand
Durgāpur;India;West Bengal
Āsansol;India;West Bengal
Bhāvnagar;India;Gujarāt
Nellore;India;Andhra Pradesh
Amrāvati;India;Mahārāshtra
Ajmer;India;Rājasthān
Tinnevelly;India;Tamil Nādu
Bīkaner;India;Rājasthān
Agartala;India;Tripura
Ujjain;India;Madhya Pradesh
Ulhāsnagar;India;Mahārāshtra
Jhānsi;India;Uttar Pradesh
Davangere;India;Karnātaka
Jammu;India;Jammu and Kashmīr
Belgaum;India;Karnātaka
Gulbarga;India;Karnātaka
Jāmnagar;India;Gujarāt
Dhūlia;India;Mahārāshtra
Gaya;India;Bihār
Jalgaon;India;Mahārāshtra
Kurnool;India;Andhra Pradesh
Udaipur;India;Rājasthān
Bellary;India;Karnātaka
Sāngli;India;Mahārāshtra
Tuticorin;India;Tamil Nādu
Calicut;India;Kerala
Akola;India;Mahārāshtra
Bhāgalpur;India;Bihār
Quilon;India;Kerala
Sīkar;India;Rājasthān
Bhātpāra;India;West Bengal
Kākināda;India;Andhra Pradesh
Bhīlwāra;India;Rājasthān
Nizāmābād;India;Telangana
Pānihāti;India;West Bengal
Parbhani;India;Mahārāshtra
Rohtak;India;Haryāna
Lātūr;India;Mahārāshtra
Rājapālaiyam;India;Tamil Nādu
Ahmadnagar;India;Mahārāshtra
Rājahmundry;India;Andhra Pradesh
Cuddapah;India;Andhra Pradesh
Muzaffarpur;India;Bihār
Alwar;India;Rājasthān
Brahmapur;India;Odisha
Kāmārhāti;India;West Bengal
Mathura;India;Uttar Pradesh
Patiāla;India;Punjab
Saugor;India;Madhya Pradesh
Bijāpur;India;Karnātaka
Shāhjānpur;India;Uttar Pradesh
Jūnāgadh;India;Gujarāt
Trichūr;India;Kerala
Barddhamān;India;West Bengal
Purnea;India;Bihār
Sambalpur;India;Odisha
Fīrozābād;India;Uttar Pradesh
Hisar;India;Haryāna
Rāmpur;India;Uttar Pradesh
Bāli;India;West Bengal
Pānīpat;India;Haryāna
Āīzawl;India;Mizoram
Karīmnagar;India;Telangana
Bhuj;India;Gujarāt
Ichalkaranji;India;Mahārāshtra
Hospet;India;Karnātaka
Bhatinda;India;Punjab
Sannai;India;Madhya Pradesh
Bārāsat;India;West Bengal
Ratlām;India;Madhya Pradesh
Drug;India;Chhattīsgarh
Handwāra;India;Jammu and Kashmīr
Imphāl;India;Manipur
Anantapur;India;Andhra Pradesh
Etāwah;India;Uttar Pradesh
Rāichūr;India;Karnātaka
Bharatpur;India;Rājasthān
Begusarai;India;Bihār
Sonīpat;India;Haryāna
Shrīrāmpur;India;West Bengal
Hāpur;India;Uttar Pradesh
Rāmgundam;India;Telangana
